10	0.001
20	0.001
30	0.003
40	0.006
50	0.002
60	0.003
70	0.002
80	0.002
90	0.003
100	0.002
110	0.004
120	0.004
130	0.004
140	0.005
150	0.004
160	0.003
170	0.003
180	0.005
190	0.006
200	0.005
210	0.006
220	0.004
230	0.004
240	0.007
250	0.006
260	0.006
270	0.007
280	0.005
290	0.006
300	0.007
310	0.008
320	0.005
330	0.005
340	0.008
350	0.006
360	0.007
370	0.008
380	0.008
390	0.009
400	0.008
410	0.014
420	0.011
430	0.012
440	0.011
450	0.009
460	0.010
470	0.007
480	0.009
490	0.008
500	0.009
510	0.009
520	0.009
530	0.008
540	0.011
550	0.013
560	0.012
570	0.012
580	0.013
590	0.010
600	0.009
610	0.014
620	0.011
630	0.010
640	0.010
650	0.010
660	0.009
670	0.010
680	0.010
690	0.010
700	0.011
710	0.013
720	0.009
730	0.012
740	0.011
750	0.011
760	0.012
770	0.011
780	0.011
790	0.018
800	0.015
810	0.014
820	0.012
830	0.017
840	0.012
850	0.011
860	0.015
870	0.015
880	0.014
890	0.014
900	0.014
910	0.014
920	0.012
930	0.014
940	0.016
950	0.016
960	0.015
970	0.014
980	0.012
990	0.016
1000	0.013
